cognitive_ability	math_score	english_score	birth_year	studying_time	grade	female	male	income_status	mother_edu	father_edu	sibling_number
0.128507003	67.29718781	74.87731934	2001	0	7	1	0	4	3	3	0
1.235878944	71.41679382	74.87731934	2001	1	7	0	1	3	8	5	0
0.083936997	42.57957077	78.01274109	2001	1	7	0	1	3	3	3	1
-0.522185028	70.04359436	55.01965332	2001	1	7	1	0	3	6	7	0
0.036171999	75.53639984	78.01274109	2000	0	7	1	0	4	7	8	0
0.247188002	67.29718781	56.06479263	2001	0	7	1	0	3	8	8	0
0.938166022	79.65599823	86.37386322	2001	4	7	0	1	3	8	8	0
-0.944187999	71.41679382	71.74189758	2000	3	7	1	0	3	6	7	0
1.129420042	63.17758942	75.92246246	2001	1	7	0	1	3	7	8	0
0.504441977	63.17758942	41.432827	2000	2	7	0	1	3	7	6	0
-0.636826992	74.16320038	81.14816284	2000	0	7	1	0	3	3	3	1
0.599695027	74.16320038	72.78704071	2001	0	7	1	0	3	8	8	0
1.22744596	76.9095993	70.69676208	2001	1	7	1	0	3	6	3	0
0.364621997	76.9095993	79.05788422	2001	2	7	1	0	4	6	9	0
0.508020997	72.78999329	59.20021439	2000	0	7	0	1	3	7	6	0
0.628989995	60.43118668	76.96760559	2001	0	7	1	0	4	4	4	0
0.421878994	67.29718781	70.69676208	2000	1	7	0	1	3	6	6	0
0.588509977	71.41679382	73.83218384	2000	0	7	1	0	3	7	7	0
-0.29113701	76.9095993	69.65161896	2000	0	7	0	1	4	7	7	0
0.878521025	74.16320038	62.33563614	2000	0	7	1	0	4	8	8	0
0.058442	57.68478394	71.74189758	2000	0	7	0	1	3	4	4	0
0.468513012	79.65599823	71.74189758	2001	0	7	0	1	3	3	3	1
1.466814995	82.40240479	83.2384491	2001	2	7	1	0	4	8	7	1
1.350554943	57.68478394	64.42591858	2000	1	7	1	0	3	8	6	0
0.852585018	74.16320038	75.92246246	2001	0	7	1	0	3	6	3	0
-0.35521701	54.9383812	68.60647583	2001	0	7	1	0	3	3	5	1
0.75781697	68.6703949	45.61338806	2001	0	7	0	1	3	7	5	0
-0.042532001	64.55078888	58.15507507	2001	0	7	0	1	3	7	6	0
0.580181003	78.28279877	48.74880981	2000	0	7	0	1	3	7	7	0
1.211923003	70.04359436	83.2384491	2000	0	7	0	1	3	3	3	0
-0.498497009	63.17758942	73.83218384	2000	0	7	0	1	3	7	7	0
1.066475034	59.0579834	70.69676208	2000	0	7	0	1	3	2	3	1
0.980747998	82.40240479	80.10302734	2000	0	7	1	0	3	7	3	0
0.414249003	72.78999329	65.47106171	2001	1	7	1	0	3	4	8	0
1.00771594	81.02920532	80.10302734	2000	2	7	0	1	3	4	4	1
0.967812002	68.6703949	70.69676208	2000	2	7	1	0	3	7	7	0
0.348596007	78.28279877	80.10302734	2001	0	7	1	0	3	6	6	0
-0.146026	67.29718781	67.56134033	2001	0	7	1	0	3	7	8	0
-0.182904005	31.59396362	60.24535751	2000	3	7	0	1	1	1	1	0
1.525640965	78.28279877	76.96760559	2000	1	7	1	0	3	3	6	2
0.836506009	60.43118668	81.14816284	2000	0	7	0	1	3	8	9	0
0.264452994	65.92398834	46.65853119	2001	3	7	0	1	3	3	7	1
-0.710774004	79.65599823	70.69676208	2001	0	7	0	1	3	8	4	0
0.411819011	70.04359436	62.33563614	2000	1	7	1	0	3	4	7	0
0.836878002	74.16320038	76.96760559	2001	4	7	0	1	3	4	6	0
